value_id;option_id;store_id;value
1;1;0;Male
2;2;0;Female
176310;9;0;External socket with wire and plug / Anschlu� extern mit Kabel und Stecker
176311;9;1;Anschlu� extern mit Kabel und Stecker
176312;9;2;External socket with wire and plug
176313;10;0;Ceiling socket / Deckenanschlu�
176314;10;1;Deckenanschlu�
176315;10;2;Ceiling socket
176316;11;0;Electrical socket with dimmer 300W / elektrischer Anschlu� mit Dimmer 300W
176317;11;1;elektrischer Anschlu� mit Dimmer 300W
176318;11;2;Electrical socket with dimmer 300W
176319;12;0;Wall socket / Wandanschlu�
176320;12;1;Wandanschlu�
176321;12;2;Wall socket
2381270;13;0;1,80 m
2381271;13;2;"1,80m / 70.87"""
2381265;14;0;1 m
2381266;14;2;"1 m / 39.37"""
2381278;15;0;2 m
2381279;15;2;"2 m / 78.74"""
2381287;16;0;3,30 m
2381288;16;2;"3,30m / 129.92"""
2381302;17;0;6 m
2381303;17;2;"6 m / 236.22"""
2292869;18;0;Canopy square 4flames /   Baldachin quadratisch 4 flammig
2292870;18;2;canopy bar 4-flamed
2292863;19;0;canopy bar 1-flamed / Baldachinschiene 1 flammig
2292864;19;2;canopy bar 1-flamed
2292865;20;0;canopy bar 2-flamed/ Baldachinschiene 2 flammig
2292866;20;2;canopy bar 2-flamed
2292867;21;0;canopy bar 3-flamed / Baldachinschiene 3 flammig
2292868;21;2;canopy bar 3-flamed
2292879;22;0;round canopy 1-flamed / runder Baldachin 1 flammig
2292880;22;2;round canopy 1-flamed
2292881;23;0;round canopy 18-flamed / runder Baldachin 18 flammig (max.)
2292882;23;2;round canopy 18-flamed(max.)
1768646;43;0;cylindric -/- zylindrisch
1768647;43;1;zylindrisch
1768648;43;2;cylindric
1768643;44;0;cylinder small -/- Zylinder niedrig
1768644;44;1;Zylinder niedrig
1768645;44;2;cylinder small
1768640;45;0;cylinder medium -/- Zylinder mittel
1768641;45;1;Zylinder mittel
1768642;45;2;cylinder medium
1768662;46;0;semicone
1768659;47;0;round -/- rund
1768660;47;1;rund
1768661;47;2;round
1768663;48;0;square -/- quadratisch
1768664;48;1;quadratisch
1768665;48;2;square
1768655;49;0;oval
1768649;50;0;ferrule -/- Metallring
1768650;50;1;Metallring
1768651;50;2;ferrule
1768637;51;0;conical -/- konisch
1768638;51;1;konisch
1768639;51;2;conical
674968;52;0;IP20
674970;53;0;IP23
674971;54;0;IP30
674973;55;0;IP40
674974;56;0;IP41
674975;57;0;IP43
674976;58;0;IP44
674977;59;0;IP54
674978;60;0;IP55
674979;61;0;IP65
674980;62;0;IP66
674981;63;0;IP67
2302954;64;0;XIV Triennale di Milano
2302953;65;0;Twentieth Century Design Collection of the Metropolitan Museum of Art
2302952;66;0;The Israel Museum Jerusalem
2302951;67;0;The Chicago Atheneum
2302950;68;0;Swisylo `96 IV Miedzynarodowe Targi Wyroznienie
2302949;69;0;Studio Artemide/Domus
2302948;70;0;SNAI Oscar des Architectes d`Int�rieur
2302947;71;0;Sixth Avango International Design Exhibition
2302946;72;0;Selezione categoria design
2302944;73;0;Red Dot Design Award
2302943;74;0;Observeur du Design
2302941;75;0;Interiorism Plus Award 2009
2302940;76;0;Intel Design 2003
2302938;77;0;iF product design award
2302936;78;0;Haus Industrieform Design Zentrum Nordrhein Westfalen 1980
2302935;79;0;Good Design Award
2302934;80;0;Focus Mobilit�t Internationaler Designpreis-Baden W�rttemberg
2302931;81;0;Excellent Swedish Design Award
2302928;82;0;Designpreis 2008 Deutschland
2302926;83;0;Design Plus, light + building
2302925;84;0;Design Plus
2302924;85;0;Design Innovationen Design Zentrum
2302922;86;0;Design Auswahl 90
2302920;87;0;Compasso d´oro / A.D.I. - Segnalazione
2302918;88;0;Casamica - Per I`accessorio 1973
2302915;89;0;BIO 9 Gold Medal
2302914;90;0;BIO 9
2302913;91;0;BIO 7 - Honourable Mention
2302912;92;0;BIO 5 - Honour Nomination
2302911;93;0;BIO 16 - Selection
2302910;94;0;ADI FAD
2302909;95;0;A.P.C.I.
2302908;96;0;1° Premio Concorso
2302906;97;0;"""D `Excellence Marie-Claire Maison"""
2302905;98;0;"""Augusto Morello"" Illa edizione 2003"
191740;99;0;Wall sconce -/- Wandleuchte
191741;99;1;Wandleuchte
191742;99;2;Wall sconce
191737;100;0;Table lamp -/- Tischleuchte
191738;100;1;Tischleuchte
191739;100;2;Table lamp
191734;101;0;Floor lamp -/- Stehleuchte
191735;101;1;Stehleuchte
191736;101;2;Floor lamp
191731;102;0;Pendant -/- H�ngeleuchte
191732;102;1;H�ngeleuchte
191733;102;2;Pendant
191728;103;0;Recessed Light -/- Einbaustrahler
191729;103;1;Einbaustrahler
191730;103;2;Recessed Light
191725;104;0;Ceiling light -/- Deckenleuchte
191726;104;1;Deckenleuchte
191727;104;2;Ceiling light
2215493;105;0;_large (T5 1x54W)
2215494;105;1;large (T5 1x54W)
2215495;105;2;z_large (T5 1x54W)
2215496;106;0;_large (T5 3x54W)
2215497;106;1;large (T5 3x54W)
2215498;106;2;z_large (T5 3x54W)
2215499;107;0;_medium (T5 1x39W)
2215500;107;1;medium (T5 1x39W)
2215501;107;2;z_medium (T5 1x39W)
2215502;108;0;_medium (T5 3x39W)
2215503;108;1;medium (T5 3x39W)
2215504;108;2;z_medium (T5 3x39W)
2215505;109;0;xsmall
2215506;110;0;small
2215507;111;0;medium
2215508;112;0;large
2215509;113;0;xlarge
2215510;114;0;xxlarge
2292901;115;0;brick -/- ziegel
2292902;115;1;Innenfarbe ziegel
2292903;115;2;inner shade brick
2292999;116;0;white -/- wei�
2293000;116;1;Innenfarbe wei�
2293001;116;2;inner shade white
2292996;117;0;warm white -/- warmweiss
2292997;117;1;Innenfarbe warmweiss
2292998;117;2;inner shadewarm white
2292988;118;0;Swarovsky Strass
2292987;119;0;Swarovsky spektra
2292894;120;0;black -/- schwarz
2292895;120;1;Innenfarbe schwarz
2292896;120;2;inner shade black
2292977;121;0;red -/- rot
2292978;121;1;Innenfarbe rot
2292979;121;2;inner shade red
2292950;122;0;milk white satin finish -/- milchweiss satiniert
2292951;122;1;milchweiss satiniert
2292952;122;2;milk white satin finish
2292928;123;0;green -/- gr�n
2292929;123;1;Innenfarbe gr�n
2292930;123;2;inner shade green
2293002;124;0;yellow gold -/- gelbgold
2293003;124;1;gelbgold
2293004;124;2;yellow gold
2292904;125;0;brown -/- braun
2292905;125;1;braun
2292906;125;2;brown
2292900;126;0;bordeaux
2292897;127;0;blue -/- blau
2292898;127;1;blau
2292899;127;2;blue
2293774;148;0;white -/- wei�
2293775;148;1;wei�
2293776;148;2;white
2293773;149;0;transparent
2293735;150;0;black -/- schwarz
2293736;150;1;schwarz
2293737;150;2;black
2293764;151;0;red/ blue -/- rot/blau
2293765;151;1;rot/ blau
2293766;151;2;red/ blue
2293761;152;0;red -/- rot
2293762;152;1;rot
2293763;152;2;red
182275;153;0;clear -/- kristall
182276;153;1;kristall
182277;153;2;clear
182281;154;0;white -/- wei�
182282;154;1;wei�
182283;154;2;white
182278;155;0;red -/- rot
182279;155;1;rot
182280;155;2;red
182272;156;0;blue -/- blau
182273;156;1;blau
182274;156;2;blue
182210;157;0;new
182211;157;1;neu
182212;157;2;new
447096;158;0;Path light -/- Wegeleuchten - Aussen
447097;158;1;Wegeleuchten - Aussen
447098;158;2;Path light
447078;159;0;Ambient light -/- Raumlicht
447079;159;1;Raumlicht
447080;159;2;Ambient light
447093;160;0;Outdoor bollard light -/- Pollerleuchte - Au�en
447094;160;1;Pollerleuchte f�r Au�en
447095;160;2;Outdoor bollard light
447099;161;0;Reading lights -/- Leselampe
447100;161;1;Leselampe
447101;161;2;Reading lights
447081;162;0;Combined -/- Kombiniert
447082;162;1;Kombiniert
447083;162;2;Combined
447090;163;0;Indirect lighting -/- Indirekte Beleuchtung
447091;163;1;Indirekte Beleuchtung
447092;163;2;Indirect lighting
447084;164;0;Direct lighting -/- Direkte Beleuchtung
447085;164;1;Direkte Beleuchtung
447086;164;2;Direct lighting
447102;165;0;Torchiere / Uplights -/- Deckenfluter
447103;165;1;Deckenfluter
447104;165;2;Torchiere / Uplights
447087;166;0;Floor lamp -/- Bodenleuchte
447088;166;1;Bodenleuchte
447089;166;2;Floor lamp
975008;167;0;On/Off switch -/- An/Aus Schalter
975009;167;1;An/Aus Schalter
975010;167;2;On/Off switch
975007;168;0;-
269452;169;0;Spotlight -/- Strahler
269453;169;1;Strahler
269454;169;2;Spotlight
269443;170;0;Ambient light -/- Raumlicht
269444;170;1;Raumlicht
269445;170;2;Ambient light
269449;171;0;Indirect lighting -/- Indirekte Beleuchtung
269450;171;1;Indirekte Beleuchtung
269451;171;2;Indirect lighting
269446;172;0;Direct lighting -/- Direkte Beleuchtung
269447;172;1;Direkte Beleuchtung
269448;172;2;Direct lighting
2381260;173;0;Half week -/- Halbe Woche
2381261;173;1;Lieferzeit Halbe Woche
2381262;173;2;Delivery time Half week
2381254;174;0;5-7 weeks -/- 5-7 Wochen
2381255;174;1;Lieferzeit 5-7 Wochen
2381256;174;2;Delivery time 5-7 weeks
2381242;175;0;3-4 weeks -/- 3-4 Wochen
2381243;175;1;Lieferzeit 3-4 Wochen
2381244;175;2;Delivery time 3-4 weeks
2381239;176;0;3 weeks -/- 3 Wochen
2381240;176;1;Lieferzeit 3 Wochen
2381241;176;2;Delivery time 3 weeks
2381233;177;0;2-3 weeks -/- 2-3 Wochen
2381234;177;1;Lieferzeit 2-3 Wochen
2381235;177;2;Delivery time 2-3 weeks
2381230;178;0;2 weeks -/- 2 Wochen
2381231;178;1;Lieferzeit 2 Wochen
2381232;178;2;Delivery time 2 weeks
2381227;179;0;1-2 week -/- 1-2 Wochen
2381228;179;1;Lieferzeit 1-2 Wochen
2381229;179;2;Delivery time 1-2 weeks
2381224;180;0;1 week -/- 1 Woche
2381225;180;1;Lieferzeit 1 Woche
2381226;180;2;Delivery time 1 week
2368882;181;0;default
377213;182;0;Path luminaires -/- Wegeleuchten - Aussen
377214;182;1;Wegeleuchten
377215;182;2;Path luminaires
377216;183;0;Pedestal luminaires -/- Sockelleuchten - Aussen
377217;183;1;Sockelleuchten
377218;183;2;Pedestal luminaires
377198;184;0;Desk lamps -/- Schreibtischlampe
377199;184;1;Schreibtischlampe
377200;184;2;Desk lamps
377189;185;0;Ambient light -/- Raumlicht
377190;185;1;Raumlicht
377191;185;2;Ambient light
377210;186;0;Orientation and marker luminaires -/- Orientierungs- und Markierungsleuchten - Aussen
377211;186;1;Orientierungs- und Markierungsleuchten - Aussen
377212;186;2;Orientation and marker luminaires
377192;187;0;Bedside lamps -/- Nachttischlampe
377193;187;1;Nachttischlampe
377194;187;2;Bedside lamps
377207;188;0;lights -/- Leselampe
377208;188;1;Leselampe
377209;188;2;Reading lights
377195;189;0;Clamp lamp -/- Klemmleuchte
377196;189;1;Klemmleuchte
377197;189;2;Clamp lamp
377204;190;0;Indirect lighting -/- Indirekte Beleuchtung
377205;190;1;Indirekte Beleuchtung
377206;190;2;Indirect lighting
377201;191;0;Direct lighting -/- Direkte Beleuchtung
377202;191;1;Direkte Beleuchtung
377203;191;2;Direct lighting
447075;192;0;Spotlights -/- Strahler
447076;192;1;Strahler
447077;192;2;Spotlights
447066;193;0;Mirror lights -/- Spiegelleuchte
447067;193;1;Spiegelleuchte
447068;193;2;Mirror lights
447051;194;0;Ambient light -/- Raumlicht
447052;194;1;Raumlicht
447053;194;2;Ambient light
447057;195;0;Effect lighting -/- Lichteffekte
447058;195;1;Lichteffekte
447059;195;2;Effect lighting
447072;196;0;Reading lights -/- Leselampe
447073;196;1;Leselampe
447074;196;2;Reading lights
447063;197;0;Indirect lighting -/- Indirekte Beleuchtung
447064;197;1;Indirekte Beleuchtung
447065;197;2;Indirect lighting
447054;198;0;Direct lighting -/- Direkte Beleuchtung
447055;198;1;Direkte Beleuchtung
447056;198;2;Direct lighting
447069;199;0;Picture light -/- Bilderleuchte
447070;199;1;Bilderleuchte
447071;199;2;Picture light
447060;200;0;Illuminated mirror -/- Beleuchteter Spiegel
447061;200;1;Beleuchteter Spiegel
447062;200;2;Illuminated mirror
377117;201;0;Recessed floor lighting -/- Bodeneinbaustrahler
377118;201;1;Bodeneinbaustrahler
377119;201;2;Recessed floor lighting
377114;202;0;Recessed ceiling lighting -/- Deckeneinbauleuchten
377115;202;1;Deckeneinbauleuchten
377116;202;2;Recessed ceiling lighting
377120;203;0;Recessed wall lights -/- Wandeinbauleuchte
377121;203;1;Wandeinbauleuchte
377122;203;2;Recessed wall lights
2184602;583;0;grey -/- grau
2184603;583;1;grau
2184604;583;2;grey
2184575;584;0;green / gr�n
2184576;584;1;gr�n
2184577;584;2;green
2186058;585;0;yellow -/- gelb
2186059;585;1;gelb
2186060;585;2;yellow
2185281;586;0;purple / lila
2185282;586;1;lila
2185283;586;2;puple
2185556;587;0;silver -/- silber
2185557;587;1;silber
2185558;587;2;silver
2185104;588;0;nickel
2379902;589;0;amber -/- bernstein
2379903;589;1;bernstein
2379904;589;2;amber
2380146;590;0;blue / blau
2380147;590;1;blau
2380148;590;2;blue
2380017;591;0;black -/- schwarz
2380018;591;1;schwarz
2380019;591;2;black
2186134;592;0;_white -/- weiss
2186135;592;1;wei�
2186136;592;2;white
2380289;593;0;chrome -/- chrom
